source,name,size,mtime,sha256,status,redactions,outputs,detail
/mnt/e/DOC_SGKIM/30 재무·관리/금융거래/금융거래_은행-2026-08-08.xlsx,금융거래_은행-2026-08-08.xlsx,385357,2026-08-12T23:52:16.994677,74be0cd98efc1a542f62fb3a6e176b2b1f289795e9f8cb034531fe0821082e6a,full-text,0,90 재무·투자/DOC_SGKIM/금융거래_은행-2026-08-08 - 2024~2026 01.md;90 재무·투자/DOC_SGKIM/금융거래_은행-2026-08-08 - 2024~2026 02.md;90 재무·투자/DOC_SGKIM/금융거래_은행-2026-08-08 - 2024~2026 03.md;90 재무·투자/DOC_SGKIM/금융거래_은행-2026-08-08 - 2024~2026 04.md;90 재무·투자/DOC_SGKIM/금융거래_은행-2026-08-08 - 2024~2026.md,"{""sheets"": 1, ""rows"": 3411}"
/mnt/e/DOC_SGKIM/30 재무·관리/금융거래/금융거래_투자-2026-08-08.xlsx,금융거래_투자-2026-08-08.xlsx,15935,2026-08-12T23:54:09.423769,2b314c7c198ee8c3e42328d554e75934b06a3be49907055b6f38723cb732f742,full-text,0,90 재무·투자/DOC_SGKIM/금융거래_투자-2026-08-08 - 업비트.md;90 재무·투자/DOC_SGKIM/금융거래_투자-2026-08-08 - 키움증권.md,"{""sheets"": 2, ""rows"": 104}"
/mnt/e/DOC_SGKIM/10 AI·기술/AI 프롬프트/챗GPT_이미지_프롬프트모음.docx,챗GPT_이미지_프롬프트모음.docx,38678,2026-05-17T00:11:37.900199,39348957fe3e29dc2083d9efca7bd632140dc1e053be2c29fdb7b63d3da6abff,full-text,0,65 생성·창작/DOC_SGKIM/챗GPT_이미지_프롬프트모음.md,"{""paragraphs_and_rows"": 84, ""characters"": 7491}"
/mnt/e/DOC_SGKIM/40 주거·부동산/힐스테이트_가구배치도.pptx,힐스테이트_가구배치도.pptx,1420571,2026-08-08T17:31:26.524591,fbb5f170ab97dad61b1462211735f42f70724a2ce26e3a0247996b1c11d88424,full-text,0,20 생활·가족/DOC_SGKIM/힐스테이트_가구배치도.md,"{""slides"": 1, ""text_items"": 22}"
/mnt/e/DOC_SGKIM/40 주거·부동산/힐스테이트_입주하자점검.pdf,힐스테이트_입주하자점검.pdf,5140473,2024-07-27T17:08:25.391403,cdddf66aca63874066ef0d530334d1bbe3545062a976bfe48e4d2e5ddda35bfa,full-text,0,20 생활·가족/DOC_SGKIM/힐스테이트_입주하자점검.md,"{""pages"": 21, ""characters"": 5674, ""pages_without_text"": 0}"
