log_no,url,title,published,status,error,body_hash,notes
220257962307,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220257962307&categoryNo=1123,"IT Master - 주요 IT 기술 창시자들 (Web, JS, JSON, jQuery, Java, Spring, ......)",2015. 1. 30. 23:47,full-text,,9daeb708169fcaa2598424ca69530834dc2049bacdfb974c140738c927a1a445,1
220371853730,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220371853730&categoryNo=1123,Hello World - 년차별로 작성한 Hello World 예제,2015. 5. 27. 16:34,full-text,,7e87e7535eaeb2b1c0b9528ce49572ea44813f18e73f9113504fe71deaf8eab9,1
220407667323,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220407667323&categoryNo=1123,2005년 ~ 2014년 - 소프트웨어 기술자 등급별 노임단가,2015. 7. 2. 1:47,full-text,,a1935306d877d722937f2bcff73e393e40b13d11dc1cd75e33db999d4f96a30c,1
220408640675,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220408640675&categoryNo=1123,[PRJ-01] 1998.04 ~ 1998.09 - DSP 음성 제어 모듈 및 프로그램,2015. 7. 2. 23:40,full-text,,bd7b243a8d34e910d53c14673e0a26ba24a49c652cb75cce33cb6e8008da814d,1
220408676070,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220408676070&categoryNo=1123,[PRJ-02] 1998.10 ~ 1999.02 - PSTN 통신 모듈 개발,2015. 7. 3. 0:21,full-text,,9a1c70d50e6387090d7a32392ddff47122b79579068cd5cb3d4ab9d6de5e4771,1
220408708141,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220408708141&categoryNo=1123,[PRJ-03] 1999.03 ~ 2000.01 - PSTN 화상회의 프로그램,2015. 7. 3. 1:12,full-text,,cb6e80c3d0f4b0d9b62c1e3bca7cf9f193f73b86e649eee05b45d5f76f733093,1
220409774015,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220409774015&categoryNo=1123,[PRJ-04] 2000.03 ~ 2000.04 - 넷트레이드 (NetTrade21),2015. 7. 4. 2:53,full-text,,3c6033d8eed52a5085e7c43cbbe84aeebbbbf5947350a6a16dacabbbd9763597,1
220409779905,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220409779905&categoryNo=1123,[PRJ-05] 2000.04 ~ 2000.11 - 아펙머신 (ApecMachine),2015. 7. 4. 3:20,full-text,,c60c9f49330fed216899f7e9d2e2222397ccae95229ccc89b4fca28ffc845267,1
220409993902,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220409993902&categoryNo=1123,[PRJ-06] 2000.05 ~ 2000.10 - 차이나월드 (ChinaWorld),2015. 7. 4. 12:55,full-text,,c4f9e0bd21382d0e0ea24343718f8f87cf42b6d9c74e49a6f2fc232d57c9e2a4,1
220410029022,https://blog.naver.com/PostView.naver?blogId=agapeuni&logNo=220410029022&categoryNo=1123,[PRJ-07] 2000.07 ~ 2000.08 - 카프카 (Kafka),2015. 7. 4. 13:46,full-text,,b970e99c5d5dfb9275844453a1e955e1956370dc70ae08a46ece3bbce02c30b2,1
